event_id,match_key,season_key,leader_team_key,opponent_team_key,bucket_key,minute_reached_plus2,stoppage_flag,leader_is_home,score_at_event_leader,score_at_event_opponent,score_at_event_display,final_leader_goals,final_opponent_goals,result_for_leader,is_win,is_draw,is_loss,points_earned,points_dropped,leader_red_cards,opponent_red_cards,leader_prematch_win_odds,opponent_prematch_win_odds,draw_odds,leader_implied_prob,strength_tier
7206_Leicester City,7206,2017-2018,Leicester City,Swansea City,31-45+,48,False,False,2,0,2-0,2,1,W,1,0,0,3,0,0,0,2.75,2.79,3.25,0.3636363636363636,Underdog
7207_Tottenham,7207,2017-2018,Tottenham,Liverpool,0-15,11,False,True,2,0,2-0,4,1,W,1,0,0,3,0,0,0,2.25,3.39,3.5,0.4444444444444444,Moderate
7208_Brighton,7208,2017-2018,Brighton,West Ham United,31-45+,46,False,False,2,0,2-0,3,0,W,1,0,0,3,0,0,0,5.25,1.83,3.5,0.1904761904761904,Underdog
7213_West Ham United,7213,2017-2018,West Ham United,Crystal Palace,31-45+,42,False,False,2,0,2-0,2,2,D,0,1,0,1,2,0,0,3.29,2.39,3.29,0.303951367781155,Underdog
7214_Leicester City,7214,2017-2018,Leicester City,Everton,16-30,28,False,True,2,0,2-0,2,0,W,1,0,0,3,0,0,0,2.14,3.75,3.39,0.4672897196261682,Moderate
7215_Manchester City,7215,2017-2018,Manchester City,West Bromwich Albion,61-75,63,False,False,3,1,3-1,3,2,W,1,0,0,3,0,0,0,1.28,11.0,6.5,0.78125,Strong Favorite
7217_Liverpool,7217,2017-2018,Liverpool,Huddersfield,46-60,57,False,True,2,0,2-0,3,0,W,1,0,0,3,0,0,0,1.25,13.0,6.75,0.8,Strong Favorite
7220_Watford,7220,2017-2018,Watford,Everton,61-75,63,False,False,2,0,2-0,2,3,L,0,0,1,0,3,0,0,3.6,2.2,3.39,0.2777777777777778,Underdog
7227_Liverpool,7227,2017-2018,Liverpool,West Ham United,16-30,23,False,False,2,0,2-0,4,1,W,1,0,0,3,0,0,0,1.66,5.25,4.33,0.6024096385542169,Moderate
7228_Manchester City,7228,2017-2018,Manchester City,Arsenal,31-45+,49,False,True,2,0,2-0,3,1,W,1,0,0,3,0,0,0,1.39,7.5,5.5,0.7194244604316548,Strong Favorite
7229_Chelsea,7229,2017-2018,Chelsea,West Bromwich Albion,16-30,22,False,False,2,0,2-0,4,0,W,1,0,0,3,0,0,0,1.61,6.5,4.0,0.6211180124223602,Moderate
7230_Watford,7230,2017-2018,Watford,West Ham United,61-75,63,False,True,2,0,2-0,2,0,W,1,0,0,3,0,0,0,2.1,3.75,3.5,0.4761904761904761,Moderate
7231_Liverpool,7231,2017-2018,Liverpool,Southampton,31-45+,40,False,True,2,0,2-0,3,0,W,1,0,0,3,0,0,0,1.39,9.0,5.0,0.7194244604316548,Strong Favorite
7232_Manchester United,7232,2017-2018,Manchester United,Newcastle United,46-60,53,False,True,3,1,3-1,4,1,W,1,0,0,3,0,0,0,1.28,13.0,5.75,0.78125,Strong Favorite
7233_Burnley,7233,2017-2018,Burnley,Swansea City,31-45+,39,False,True,2,0,2-0,2,0,W,1,0,0,3,0,0,0,2.14,4.0,3.2,0.4672897196261682,Moderate
